Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
393232,1.0200000,5.7600000,106.0000000,0.4062981,0.1133893,42.8397026,0.2411210,1.7482650,0.0372050,3.7976847,6.7102890,43.2139206,22.8456001
393233,1.0200000,5.8200000,112.0000000,0.4214527,0.1096445,31.2872829,0.2191962,1.6544960,0.0372050,3.9493725,6.9500184,46.6099129,26.5032005
393234,1.0200000,5.8800000,116.0000000,0.4341453,0.1112872,18.9638901,0.2166070,1.5610495,0.0372050,4.0178847,7.0016398,48.3319168,27.4787998
393235,1.0200000,5.9400000,223.0000000,0.6656556,0.0507094,1.3435303,0.9739846,3.9882805,0.0372050,9.0428238,12.8435640,300.7941895,724.2803955
393236,1.0200000,6.0000000,224.0000000,0.6616468,0.0511442,357.2643738,0.9787670,3.9882329,0.0372050,8.9957514,12.7502880,301.4900818,724.4927979
393237,1.0200000,6.0600000,108.0000000,0.4162306,0.1576692,326.8843689,0.2361294,1.0198433,0.0372050,2.8518071,5.7596822,41.8026924,21.4272003
393238,1.0200000,6.1200000,102.0000000,0.3885550,0.1771909,309.8365173,0.2656443,1.0726899,0.0372050,2.4120331,5.2494097,39.0326080,19.9080009
393239,1.0200000,6.1800000,97.0000000,0.3765431,0.2604502,300.7716980,0.3098733,1.1270491,0.0372050,1.5528601,4.2623587,38.4137497,20.6891994
393240,1.0200000,6.2400000,97.0000000,0.3734076,0.3393964,295.5765686,0.3628952,1.1825038,0.0372050,1.0764846,3.7182865,41.4422607,23.9076004
393241,1.0200000,6.3000000,95.0000000,0.3714021,0.3553771,291.8639832,0.4185670,1.2387737,0.0372050,1.0348234,3.6239519,44.4372482,27.7632008
393242,1.0200000,6.3600000,95.0000000,0.3696288,0.3688729,289.0532227,0.4756380,1.2956648,0.0372050,1.0057231,3.5485377,48.8248177,32.6664009
393244,1.0200000,6.4800000,15.0000000,0.0573107,0.3640707,112.1633148,0.1152019,0.3693634,0.0479580,0.4961915,1.4064680,2.2768424,0.4140000
393245,1.0200000,6.5400000,27.0000000,0.1063242,0.1486853,25.4031239,0.2126617,0.8880610,0.0529542,1.7792500,2.9976921,7.8467522,3.9995999
393246,1.0200000,6.6000000,16.0000000,0.0616605,0.3261572,195.8690491,0.0418624,0.2719048,0.0518460,0.5299606,1.5413282,1.9211541,0.2628000
393247,1.0200000,6.6600000,12.0000000,0.0460871,0.7059554,248.7203827,0.1196925,0.2688413,0.0035960,0.1103003,0.9057454,1.6031204,0.2412000
393248,1.0200000,6.7200000,11.0000000,0.0433645,0.3038210,195.7801514,0.0583736,0.3212952,0.0360080,0.4940260,1.3392555,1.4172535,0.2268000
393249,1.0200000,6.7800000,21.0000000,0.0862089,0.0808032,335.2037048,0.2340712,1.2268126,0.0515630,2.5484900,3.6615667,8.3149109,6.1560001
393254,1.0200000,7.0800000,30.0000000,0.1292959,0.2974142,131.5408936,0.1030121,0.4663462,0.0446940,0.8400338,2.3373101,6.5344820,1.7640001
393255,1.0200000,7.1400000,44.0000000,0.1882111,0.1727400,2.3399734,0.1863502,1.1610692,0.1046940,1.9289790,3.7002509,17.1390915,10.9583998
393256,1.0200000,7.2000000,29.0000000,0.1277589,0.3867494,220.5295105,0.0912634,0.4287319,0.0591110,0.5262653,2.0374444,6.0793762,1.5732000
393258,1.0200000,7.3200000,31.0000000,0.1110809,0.4772391,142.5402069,0.1610552,0.4943219,0.0161280,0.3470294,1.7102385,6.6198921,1.7280000
393259,1.0200000,7.3800000,31.0000000,0.1104810,0.6226199,164.2098541,0.1317083,0.3968821,0.0761280,0.1318772,1.4932663,6.0090775,1.4976000
393260,1.0200000,7.4400000,31.0000000,0.1104810,0.6230403,191.2557373,0.1292237,0.3931493,0.0865600,0.1313733,1.4927624,6.0090775,1.4976000
393261,1.0200000,7.5000000,32.0000000,0.1109439,0.4801537,214.3144684,0.1544771,0.4834144,0.0265600,0.3411946,1.7039880,7.0885072,1.9476000
393263,1.0200000,7.6200000,31.0000000,0.1314438,0.1835353,109.0143585,0.0696539,0.9046618,0.0475620,1.3854785,2.9999585,7.0561380,2.1168001
393264,1.0200000,7.6800000,43.0000000,0.1831951,0.2244683,357.6307373,0.1658249,0.9182389,0.1013220,1.5277562,3.2024653,15.3236437,8.3951998
393265,1.0200000,7.7400000,30.0000000,0.1283477,0.3550539,238.5877686,0.0903396,0.4681324,0.0413220,0.6439019,2.1313355,6.5843391,1.7964000
458757,1.0800000,5.1000000,96.0000000,0.3304169,0.1835083,67.5094147,0.3973093,1.3450135,0.0039530,2.3913634,4.7567272,40.6012955,25.1784000
458758,1.0800000,5.1600000,106.0000000,0.3528106,0.1206856,50.4628868,0.3465895,1.4758990,0.0639530,3.5723767,6.0610518,46.3851547,31.0464001
458759,1.0800000,5.2200000,106.0000000,0.3658521,0.1178703,29.1167831,0.3264478,1.4737735,0.1239530,3.6147087,6.2453303,44.2441216,30.0060005
458760,1.0800000,5.2800000,91.0000000,0.3032148,0.1756021,28.0759354,0.1823758,0.9448561,0.1826540,2.3397508,4.6581688,27.0130901,11.2032003
458761,1.0800000,5.3400000,85.0000000,0.2795017,0.1885474,358.6452637,0.1421395,0.8763309,0.1565960,2.1475229,4.3160539,23.0265560,8.2404003
458762,1.0800000,5.4000000,76.0000000,0.2552934,0.2987279,323.4063416,0.1497626,0.6800916,0.0965960,1.2136160,3.2770782,19.0814285,5.8031998
458763,1.0800000,5.4600000,75.0000000,0.2409231,0.3405798,303.8716431,0.2088886,0.7287432,0.0365960,1.0471426,2.9814994,21.5725346,7.5275998
458765,1.0800000,5.5800000,96.0000000,0.3677183,0.2661497,76.0228424,0.4072905,1.2494228,0.0557090,1.4429644,4.1667705,44.0432892,26.2584000
458766,1.0800000,5.6400000,107.0000000,0.4096289,0.1893905,64.7135315,0.2802254,1.1898226,0.0972050,2.3248451,5.2134013,46.6348801,26.4239998
458767,1.0800000,5.7000000,106.0000000,0.4104316,0.2121209,59.2629280,0.2237014,1.1302675,0.0972050,2.0574610,4.9309840,42.2720184,22.1075993
458768,1.0800000,5.7600000,107.0000000,0.4034308,0.2074025,54.0864983,0.1827678,1.0707654,0.0972050,2.0923452,4.9440460,39.9469643,19.5804005
