Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Through vision
524336,1.14000000,7.68000000,56.00000000,18.96199799,8.70839977,556.00000000
589829,1.20000000,5.10000000,114.00000000,61.30465698,52.44120026,120.00000000
589830,1.20000000,5.16000000,123.00000000,62.46260834,50.47919846,640.00000000
589831,1.20000000,5.22000000,137.00000000,72.26356506,59.63040161,915.00000000
589832,1.20000000,5.28000000,129.00000000,61.13722610,46.22040176,1017.00000000
589833,1.20000000,5.34000000,132.00000000,61.34249496,43.91279984,1082.00000000
589834,1.20000000,5.40000000,140.00000000,63.49271774,41.79959869,1205.00000000
589835,1.20000000,5.46000000,153.00000000,69.21115112,42.62760162,1380.00000000
589836,1.20000000,5.52000000,146.00000000,65.14171600,38.14199829,1459.00000000
589837,1.20000000,5.58000000,121.00000000,53.14904022,30.63240051,1406.00000000
589838,1.20000000,5.64000000,111.00000000,45.47766495,24.99839973,1327.00000000
589839,1.20000000,5.70000000,109.00000000,41.70174026,21.54240036,1284.00000000
589840,1.20000000,5.76000000,108.00000000,38.98559952,19.04039955,1305.00000000
589841,1.20000000,5.82000000,105.00000000,35.68430710,16.45199966,1337.00000000
589842,1.20000000,5.88000000,108.00000000,35.71826172,15.93000031,1398.00000000
589843,1.20000000,5.94000000,230.00000000,278.32855225,631.59478760,2144.00000000
589844,1.20000000,6.00000000,230.00000000,278.68750000,632.14202881,2126.00000000
589845,1.20000000,6.06000000,110.00000000,38.03018570,18.35639954,1349.00000000
589846,1.20000000,6.12000000,107.00000000,38.56108475,19.88999939,1225.00000000
589847,1.20000000,6.18000000,106.00000000,40.75096130,22.66200066,1129.00000000
589848,1.20000000,6.24000000,106.00000000,43.92528534,26.29439926,1010.00000000
589849,1.20000000,6.30000000,106.00000000,47.76119614,30.69720078,892.00000000
589850,1.20000000,6.36000000,105.00000000,51.25034332,34.94520187,771.00000000
589851,1.20000000,6.42000000,104.00000000,55.63575363,40.50719833,676.00000000
589852,1.20000000,6.48000000,92.00000000,57.39423752,45.95399857,617.00000000
589853,1.20000000,6.54000000,93.00000000,59.15700912,49.60440063,498.00000000
589854,1.20000000,6.60000000,103.00000000,65.31044769,56.91960144,468.00000000
589855,1.20000000,6.66000000,195.00000000,282.12588501,611.13598633,232.00000000
589856,1.20000000,6.72000000,135.00000000,176.81016541,357.59161377,118.00000000
589857,1.20000000,6.78000000,63.00000000,46.02703857,50.01839828,53.00000000
589862,1.20000000,7.08000000,56.00000000,21.01936913,9.77400017,6.00000000
589863,1.20000000,7.14000000,91.00000000,34.67163467,16.99920082,566.00000000
589864,1.20000000,7.20000000,59.00000000,18.49957085,7.46640015,144.00000000
589865,1.20000000,7.26000000,53.00000000,13.90856647,4.50719976,150.00000000
589866,1.20000000,7.32000000,55.00000000,14.38762951,4.71239996,172.00000000
589867,1.20000000,7.38000000,56.00000000,14.85981560,5.05079985,190.00000000
589868,1.20000000,7.44000000,55.00000000,14.69640732,5.10120010,198.00000000
589869,1.20000000,7.50000000,57.00000000,16.70959282,6.72840023,196.00000000
589870,1.20000000,7.56000000,58.00000000,18.37224197,8.12160015,178.00000000
589871,1.20000000,7.62000000,70.00000000,26.22880936,13.57199955,228.00000000
589872,1.20000000,7.68000000,97.00000000,39.70424271,21.24360085,656.00000000
589873,1.20000000,7.74000000,65.00000000,29.48315430,17.60759926,8.00000000
655365,1.26000000,5.10000000,99.00000000,45.31852341,31.56480026,104.00000000
655366,1.26000000,5.16000000,107.00000000,44.77974701,28.57320023,638.00000000
655367,1.26000000,5.22000000,120.00000000,52.11532593,34.58160019,938.00000000
655368,1.26000000,5.28000000,101.00000000,34.01179123,17.17560005,842.00000000
655369,1.26000000,5.34000000,92.00000000,26.10086250,9.78120041,785.00000000
655370,1.26000000,5.40000000,84.00000000,22.15407944,7.00920010,597.00000000
655371,1.26000000,5.46000000,77.00000000,22.19387054,7.53480005,184.00000000
655373,1.26000000,5.58000000,100.00000000,45.40021515,26.60759926,81.00000000
655374,1.26000000,5.64000000,106.00000000,44.57954407,24.29640007,373.00000000
655375,1.26000000,5.70000000,104.00000000,40.01206589,19.96920013,606.00000000
655376,1.26000000,5.76000000,104.00000000,37.26912308,17.34119987,768.00000000
655377,1.26000000,5.82000000,103.00000000,35.24887466,15.75360012,876.00000000
655378,1.26000000,5.88000000,101.00000000,32.40088654,13.55760002,966.00000000
655379,1.26000000,5.94000000,226.00000000,268.78515625,601.01281738,2014.00000000
655380,1.26000000,6.00000000,225.00000000,268.51458740,601.16760254,1994.00000000
