Ref,x1,y1,x2,y2,Angular Connectivity,Angular Shortest Path Angle,Angular Shortest Path Order,Axial Line Ref,Connectivity,Segment Length
886,533511.714662,183699.514564,533519.561816,183490.01078,3.0497966,-1,-1,285,4,209.6507
887,533519.561816,183490.01078,533524.910591,183347.208845,4,-1,-1,285,6,142.90207
888,533524.910591,183347.208845,533527.506623,183277.899818,2.8334274,-1,-1,285,5,69.357628
889,533527.506623,183277.899818,533530.028676,183210.565907,3.1665726,-1,-1,285,4,67.381126
890,533580.004823,183335.375059,533588.155566,183339.131584,3.6441982,-1,-1,286,4,8.9747467
891,533588.155566,183339.131584,533645.046997,183365.351785,0.91864121,-1,-1,286,3,62.642906
892,533577.743827,183340.461307,533580.004823,183335.375059,3.0086384,-1,-1,287,4,5.5661507
893,533580.004823,183335.375059,533607.964919,183272.477118,1.5875411,-1,-1,287,3,68.832535
894,533607.964919,183272.477118,533638.950242,183265.677481,2.5961795,-1,-1,288,4,31.722631
895,533638.950242,183265.677481,533788.751236,183232.804095,2.8942552,-1,-1,288,4,153.36557
896,533610.371085,183192.244039,533638.950242,183265.677481,4,-1,-1,289,5,78.798721
897,533638.950242,183265.677481,533672.543134,183351.993589,4,-1,-1,289,6,92.622635
898,533672.543134,183351.993589,533698.437188,183418.527725,4,-1,-1,289,6,71.395332
899,533698.437188,183418.527725,533727.093008,183492.15815,3.0542002,-1,-1,289,5,79.010101
900,533727.093008,183492.15815,533740.939941,183527.737505,1.086924,-1,-1,289,4,38.178894
901,533740.939941,183527.737505,533748.123444,183546.195339,3.8588758,-1,-1,289,4,19.806421
902,533645.046997,183365.351785,533672.543134,183351.993589,2.5628395,-1,-1,290,4,30.569248
903,533672.543134,183351.993589,533809.844237,183285.289851,2.9553642,-1,-1,290,4,152.64659
904,533788.751236,183232.804095,533802.277321,183266.461078,1.9056505,-1,-1,291,3,36.273235
905,533802.277321,183266.461078,533809.844237,183285.289851,1.9439689,-1,-1,291,3,20.292385
906,533802.277321,183266.461078,533880.765511,183233.274373,4,-1,-1,292,5,85.215919
907,533880.765511,183233.274373,533944.738328,183206.22512,3.038465,-1,-1,292,5,69.456345
908,533944.738328,183206.22512,534011.177384,183178.133081,2.0050292,-1,-1,292,4,72.13398
909,534011.177384,183178.133081,534069.791631,183153.349561,2.9565058,-1,-1,292,4,63.638454
910,534011.177384,183178.133081,534046.120586,183279.584777,4,-1,-1,293,4,107.30086
911,533389.738917,183541.891245,533407.205225,183534.911273,4,-1,-1,294,5,18.809357
912,533407.205225,183534.911273,533519.561816,183490.01078,4,-1,-1,294,6,120.99611
913,533519.561816,183490.01078,533698.437188,183418.527725,4,-1,-1,294,6,192.62976
914,533698.437188,183418.527725,533776.429803,183387.359932,2.9772246,-1,-1,294,5,83.989754
915,533776.429803,183387.359932,533915.081054,183331.951438,3.0227757,-1,-1,294,5,149.31265
916,533915.081054,183331.951438,533979.992125,183306.011357,2.9741676,-1,-1,294,5,69.902321
917,533979.992125,183306.011357,534046.120586,183279.584777,1.9949708,-1,-1,294,4,71.213326
918,534046.120586,183279.584777,534108.795272,183254.53841,1.7440393,-1,-1,294,4,67.493973
919,534108.795272,183254.53841,534119.664561,183250.194772,3.2868223,-1,-1,294,4,11.705069
920,533656.286812,183512.980358,533668.514671,183584.549256,1.8460462,-1,-1,295,3,72.605972
921,533668.514671,183584.549256,533686.935431,183692.364815,3.079603,-1,-1,295,5,109.37788
