Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration R500 metric,T1024 Node Count R500 metric,T1024 Total Depth R500 metric
146,531156.88079,183889.431752,531157.130183,183890.811468,4,42,5,1.4020742,54.05658,128,303.08984
147,531029.291446,183888.25309,531030.230687,183855.631128,2,43,2,32.635479,44.383755,111,277.60156
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,44,4,55.385048,49.251316,88,157.23438
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,44,4,8.0672827,42.912289,86,172.35156
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,45,4,4.1139636,45.375404,81,144.59375
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,45,4,56.198662,42.869949,83,160.69531
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,45,4,13.687597,42.004963,92,201.5
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,46,4,5.1633153,36.229725,85,199.42188
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,46,4,48.794411,42.174702,88,183.61719
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,46,4,5.8241816,39.664352,88,195.23828
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,47,4,166.88625,32.318729,72,160.40234
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,47,4,4.9959264,32.291691,79,193.26953
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,48,2,114.23679,14.62712,24,39.378906
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,48,3,55.910877,18.890539,32,54.207031
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,49,4,81.635147,25.227255,35,48.558594
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,49,4,108.93696,29.745825,40,53.789062
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,49,4,30.296598,32.147346,53,87.378906
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,50,3,40.717644,35.773708,102,290.82812
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,51,1,63.598595,23.458891,93,368.6875
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,52,4,4.4063578,44.436855,113,287.35156
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,52,4,90.654068,42.598183,112,294.47266
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,53,4,143.34143,44.63995,112,281.00391
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,53,4,141.29507,51.784508,122,287.42188
169,531282.101437,184085.298468,531294.562642,184021.679734,4,54,4,64.827652,38.992989,118,357.08984
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,55,3,26.562881,31.153425,112,402.65234
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,55,3,23.211634,31.272018,113,408.32031
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,56,2,62.202236,29.513395,112,425.02734
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,57,3,25.08102,32.168007,91,257.42969
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,57,3,25.400402,33.987495,91,243.64844
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,58,2,63.467106,30.148897,113,423.53125
176,530810.256885,183814.547701,530916.388132,183816.148133,4,59,4,106.14331,32.057583,76,180.17578
177,531139.683702,184338.865635,531374.160466,184412.387824,4,60,4,245.73332,25.192852,52,107.33203
