Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
786442,1.38,5.4,1.975836,72,21.405773,7.7291999
786443,1.38,5.46,2.0247107,72,23.6397,9.1512003
786451,1.38,5.94,0.94228411,168,235.0116,537.26038
786452,1.38,6,0.91683292,174,240.27968,541.6272
786462,1.38,6.6,1.5227268,25,6.9630108,2.934
786463,1.38,6.66,1.0227268,156,222.49254,490.7196
786464,1.38,6.72,1.0861778,52,23.001314,15.714
786468,1.38,6.96,1.7135347,25,8.1457586,3.7548001
786470,1.38,7.08,2.4629831,57,21.095362,9.7343998
786471,1.38,7.14,2.2581503,90,33.55788,15.7104
786472,1.38,7.2,2.0705085,69,25.863102,14.958
786473,1.38,7.26,2.1049421,60,19.849401,10.5696
786474,1.38,7.32,2.088649,57,15.631636,5.5152001
786475,1.38,7.38,2.06812,55,14.957966,5.4359999
786476,1.38,7.44,2.0334296,58,16.736746,6.5879998
786477,1.38,7.5,2.0264342,58,17.649349,7.5636001
786478,1.38,7.56,2.020699,60,19.426327,8.8163996
786479,1.38,7.62,2.0159125,72,26.966068,13.8384
786480,1.38,7.68,2.0118577,98,40.286591,21.531601
786481,1.38,7.74,2.008379,66,28.82032,16.8228
851970,1.44,4.92,2.1806688,24,7.0367808,2.7107999
851971,1.44,4.98,2.1806688,26,6.8474617,2.4156001
851972,1.44,5.04,2.1806688,43,15.919716,8.2944002
851973,1.44,5.1,2.1806688,80,29.562944,13.3344
851974,1.44,5.16,2.1806688,76,26.056211,10.9332
851975,1.44,5.22,1.1806688,102,37.353725,18.381599
851976,1.44,5.28,2.1806688,74,23.353807,8.9927998
851977,1.44,5.34,2.1806688,73,23.336214,9.0251999
851978,1.44,5.4,2.1806688,73,24.70052,9.9432001
851979,1.44,5.46,2.1806688,72,26.304705,11.1564
851987,1.44,5.94,0.94228411,152,222.51848,509.19479
851988,1.44,6,0.91577363,150,222.0843,509.08679
851999,1.44,6.66,1.0227268,161,217.65578,466.41599
852004,1.44,6.96,1.7135347,22,6.7938762,2.9628
852007,1.44,7.14,2.5032611,57,19.553377,9.0431995
852016,1.44,7.68,2.3726487,63,21.586267,9.9432001
917506,1.5,4.92,2.0550029,33,15.108924,10.1088
917507,1.5,4.98,2.2651129,32,12.570141,7.2972002
917508,1.5,5.04,2.6806688,24,8.5234089,4.3740001
917510,1.5,5.16,1.475836,33,10.208949,4.0427999
