Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Shortest Path Distance,Metric Shortest Path Order,Segment Length
2807,534804.514259,185289.826304,534861.606935,185419.073064,2.9278691,891,4,-1,-1,141.29507
2808,534914.59545,184976.876084,534949.953404,185076.957141,4,892,4,-1,-1,106.14331
2809,534538.75427,185529.759749,534549.668752,185713.322903,4,893,4,-1,-1,183.88734
2810,535227.518093,185224.26052,535303.862969,185207.907077,3.0542002,894,4,-1,-1,78.076729
2811,535303.862969,185207.907077,535341.195004,185199.910375,1.086924,894,4,-1,-1,38.178894
2812,535341.195004,185199.910375,535360.562092,185195.761851,3.8588758,894,4,-1,-1,19.806421
2813,535128.576648,184786.125764,535129.229953,184789.018741,2.8657327,895,4,-1,-1,2.9658256
2814,535129.229953,184789.018741,535176.129454,184996.70018,2.9697247,895,5,-1,-1,212.91112
2815,535176.129454,184996.70018,535208.031717,185137.970504,3.0302753,895,5,-1,-1,144.82768
2816,535208.031717,185137.970504,535209.009152,185142.298805,3.0214715,895,5,-1,-1,4.4372926
2817,535209.009152,185142.298805,535209.717884,185145.437227,2.9785283,895,5,-1,-1,3.2174516
2818,535209.717884,185145.437227,535227.518093,185224.26052,2.9929447,895,5,-1,-1,80.808159
2819,535227.518093,185224.26052,535240.426207,185281.420525,1.9872334,895,4,-1,-1,58.599365
2820,535240.426207,185281.420525,535280.525283,185458.988162,3.0198221,895,4,-1,-1,182.03902
2821,535313.128838,185281.127467,535385.731815,185280.467604,1.8460462,896,3,-1,-1,72.605972
2822,535385.731815,185280.467604,535495.105171,185279.473549,3.079603,896,5,-1,-1,109.37788
2823,535495.105171,185279.473549,535731.522532,185277.324836,4,896,5,-1,-1,236.42712
2824,535303.862969,185207.907077,535313.128838,185281.127467,2.9256492,897,3,-1,-1,73.804344
2825,535385.731815,185280.467604,535392.650693,185331.741867,2.881022,898,4,-1,-1,51.738968
2826,535392.650693,185331.741867,535392.805505,185332.889146,3.118978,898,4,-1,-1,1.1576769
2827,535346.944402,185367.295278,535392.805505,185332.889146,0.67563176,899,2,-1,-1,57.332561
2828,535392.805505,185332.889146,535394.224002,185331.824955,3.3243682,899,4,-1,-1,1.773312
2829,535392.650693,185331.741867,535394.224002,185331.824955,3.5566537,900,4,-1,-1,1.5755012
2830,535394.224002,185331.824955,535488.231811,185336.789587,2.4433463,900,5,-1,-1,94.138809
2831,535488.231811,185336.789587,535728.40191,185349.473176,4,900,5,-1,-1,240.50478
2832,535472.881561,185464.79329,535480.868192,185398.193835,2.9935997,901,4,-1,-1,67.07663
2833,535480.868192,185398.193835,535488.231811,185336.789587,3.0064003,901,5,-1,-1,61.844196
2834,535488.231811,185336.789587,535495.105171,185279.473549,4,901,6,-1,-1,57.726696
2835,535495.105171,185279.473549,535504.437703,185201.650799,4,901,6,-1,-1,78.380333
2836,535504.437703,185201.650799,535513.55431,185125.628627,2.3847485,901,5,-1,-1,76.566856
2837,535513.55431,185125.628627,535514.417882,185118.427414,3.6152513,901,4,-1,-1,7.2528086
2838,535509.606254,185118.137019,535514.417882,185118.427414,3.0376058,902,4,-1,-1,4.8203835
2839,535514.417882,185118.427414,535571.577702,185121.877161,2.0014875,902,4,-1,-1,57.263824
2840,535571.577702,185121.877161,535652.768457,185126.77724,2.0467546,902,4,-1,-1,81.338486
2841,535652.768457,185126.77724,535721.985908,185130.954697,2.9141521,902,5,-1,-1,69.343399
2842,535721.985908,185130.954697,535737.812147,185131.909853,2.9891434,902,4,-1,-1,15.855036
2843,535422.21269,184952.303936,535422.696205,184953.221427,4,903,5,-1,-1,1.0371
2844,535422.696205,184953.221427,535437.086879,184980.528355,3.7711391,903,5,-1,-1,30.866808
2845,535437.086879,184980.528355,535446.643957,184998.663325,1.3826053,903,4,-1,-1,20.499144
2846,535446.643957,184998.663325,535484.382004,185070.27291,1.9921591,903,4,-1,-1,80.945
2847,535484.382004,185070.27291,535509.606254,185118.137019,1.5069535,903,4,-1,-1,54.103935
2848,535509.606254,185118.137019,535513.55431,185125.628627,3.3471429,903,4,-1,-1,8.468255
2849,535369.506432,185017.827383,535446.643957,184998.663325,2,904,2,-1,-1,79.482445
2850,535723.087383,185472.344263,535725.135234,185424.998252,1.9496262,905,3,-1,-1,47.390278
2851,535725.135234,185424.998252,535728.40191,185349.473176,2.0359912,905,4,-1,-1,75.595688
2852,535728.40191,185349.473176,535731.522532,185277.324836,2.0393751,905,4,-1,-1,72.215797
2853,535731.522532,185277.324836,535734.689472,185204.105646,2.9666958,905,5,-1,-1,73.287651
2854,535734.689472,185204.105646,535736.005815,185173.672,4,905,6,-1,-1,30.462101
2855,535736.005815,185173.672,535737.812147,185131.909853,2.9891434,905,4,-1,-1,41.801193
2856,535341.195004,185199.910375,535361.187977,185200.123531,3.0975204,906,4,-1,-1,19.99411
2857,535361.187977,185200.123531,535443.142734,185200.997298,1.8206327,906,4,-1,-1,81.959412
2858,535443.142734,185200.997298,535504.437703,185201.650799,3.081847,906,5,-1,-1,61.298454
2859,535504.437703,185201.650799,535734.689472,185204.105646,4,906,6,-1,-1,230.26486
2860,535734.689472,185204.105646,535746.033896,185204.226595,3.2086754,906,4,-1,-1,11.345068
2861,535599.188523,184756.802911,535605.956779,184777.425136,4,907,5,-1,-1,21.704504
2862,535605.956779,184777.425136,535654.645505,184925.774987,4,907,6,-1,-1,156.13542
2863,535654.645505,184925.774987,535656.007672,184929.925376,3.1411369,907,5,-1,-1,4.368206
2864,535656.007672,184929.925376,535694.53113,185047.302637,1.8840355,907,4,-1,-1,123.53735
2865,535694.53113,185047.302637,535721.985908,185130.954697,2.9748278,907,5,-1,-1,88.042221
2866,535721.985908,185130.954697,535736.005815,185173.672,4,907,6,-1,-1,44.959156
2867,535736.005815,185173.672,535746.033896,185204.226595,3.2086754,907,4,-1,-1,32.158134
2868,535559.780814,184586.795798,535605.843839,184751.392408,1.8411074,908,3,-1,-1,170.92058
2869,535605.843839,184751.392408,535613.522833,184778.831693,2.5515666,908,4,-1,-1,28.49353
2870,535613.522833,184778.831693,535654.645505,184925.774987,2.7092693,908,5,-1,-1,152.589
2871,535654.645505,184925.774987,535655.812243,184929.944082,4,908,5,-1,-1,4.3292761
2872,535516.38193,184760.772841,535522.019538,184761.820893,3.2741685,909,4,-1,-1,5.734199
2873,535522.019538,184761.820893,535579.802503,184772.562959,2.7258315,909,5,-1,-1,58.77298
2874,535579.802503,184772.562959,535605.956779,184777.425136,4,909,6,-1,-1,26.602385
2875,535605.956779,184777.425136,535613.522833,184778.831693,4,909,5,-1,-1,7.6956849
2876,535528.624385,184814.168697,535539.494221,184805.33196,3.3356996,910,4,-1,-1,14.008615
2877,535539.494221,184805.33196,535579.802503,184772.562959,2.6643004,910,5,-1,-1,51.947716
2878,535579.802503,184772.562959,535599.188523,184756.802911,3.2326641,910,5,-1,-1,24.983932
2879,535599.188523,184756.802911,535605.843839,184751.392408,2.7673359,910,4,-1,-1,8.5771065
2880,535539.494221,184805.33196,535541.572316,184818.607323,3.3090973,911,4,-1,-1,13.437029
2881,535541.572316,184818.607323,535560.429882,184939.073961,2.6909027,911,5,-1,-1,121.93366
2882,535560.429882,184939.073961,535569.063932,184994.230338,4,911,5,-1,-1,55.828064
2883,535410.620448,184953.413531,535422.21269,184952.303936,2.7519836,912,4,-1,-1,11.645226
2884,535422.21269,184952.303936,535433.390491,184951.234011,3.2480164,912,5,-1,-1,11.22889
2885,535433.390491,184951.234011,535434.651023,184951.113355,3.9496341,912,5,-1,-1,1.2662926
2886,535434.651023,184951.113355,535500.753665,184944.786093,1.1056888,912,4,-1,-1,66.40477
2887,535500.753665,184944.786093,535560.429882,184939.073961,2.9446769,912,5,-1,-1,59.948971
2888,535560.429882,184939.073961,535655.812243,184929.944082,3.1129653,912,5,-1,-1,95.818314
2889,535655.812243,184929.944082,535656.007672,184929.925376,2.8870349,912,4,-1,-1,0.19632135
2890,535298.894702,184890.192229,535329.285873,184969.693091,2.9463861,913,3,-1,-1,85.111755
2891,535243.636185,184984.79627,535249.331291,184904.493614,2.7760887,914,3,-1,-1,80.504349
2892,535249.331291,184904.493614,535298.894702,184890.192229,1.7224751,915,2,-1,-1,51.585476
2893,534936.513858,185038.95319,534936.526105,185038.951031,0,916,0,-1,-1,0.012435302
2894,535176.129454,184996.70018,535243.636185,184984.79627,2.8438091,917,4,-1,-1,68.548241
2895,535243.636185,184984.79627,535285.442912,184977.424212,2.1506054,917,4,-1,-1,42.451733
2896,535285.442912,184977.424212,535329.285873,184969.693091,2.1269197,917,4,-1,-1,44.519382
2897,535329.285873,184969.693091,535411.343263,184955.223367,2.0094476,917,4,-1,-1,83.323395
2898,535411.343263,184955.223367,535422.696205,184953.221427,2.8692183,917,5,-1,-1,11.528098
2899,535422.696205,184953.221427,535433.403035,184951.333421,4,917,6,-1,-1,10.872018
2900,535433.403035,184951.333421,535434.651023,184951.113355,3.9999998,917,5,-1,-1,1.267242
2901,535497.037903,184924.633029,535500.753665,184944.786093,2,918,2,-1,-1,20.492752
2902,535659.365793,185057.322685,535694.53113,185047.302637,2.315361,919,3,-1,-1,36.565041
2903,535648.380164,185068.038217,535659.365793,185057.322685,0.87075675,920,2,-1,-1,15.346227
2904,535648.380164,185068.038217,535652.768457,185126.77724,2.5553956,921,3,-1,-1,58.902714
2905,535396.905663,184662.087043,535415.469624,184809.20883,3.0821564,922,4,-1,-1,148.28838
2906,535415.469624,184809.20883,535433.390491,184951.234011,2.9178436,922,5,-1,-1,143.15135
2907,535433.390491,184951.234011,535433.403035,184951.333421,4,922,6,-1,-1,0.10019775
2908,535433.403035,184951.333421,535437.086879,184980.528355,3.9999998,922,5,-1,-1,29.426432
2909,535308.035107,184696.553269,535310.265416,184702.13767,4,923,5,-1,-1,6.0133033
2910,535310.265416,184702.13767,535410.620448,184953.413531,2.8188527,923,5,-1,-1,270.57474
2911,535410.620448,184953.413531,535411.343263,184955.223367,3.1811471,923,4,-1,-1,1.9488376
2912,535280.057722,184945.236103,535285.442912,184977.424212,2,924,2,-1,-1,32.635479
2913,535415.469624,184809.20883,535471.571001,184794.610467,2.372308,925,4,-1,-1,57.96962
2914,535471.571001,184794.610467,535479.378292,184792.5789,3.6276922,925,4,-1,-1,8.0672827
2915,535471.571001,184794.610467,535475.46265,184795.944546,2.6622484,926,4,-1,-1,4.1139636
2916,535475.46265,184795.944546,535528.624385,184814.168697,1.9825487,926,4,-1,-1,56.198662
2917,535528.624385,184814.168697,535541.572316,184818.607323,3.3552032,926,4,-1,-1,13.687597
2918,535475.46265,184795.944546,535479.378292,184792.5789,3.7100596,927,4,-1,-1,5.1633153
2919,535479.378292,184792.5789,535516.38193,184760.772841,0.85895824,927,4,-1,-1,48.794411
2920,535516.38193,184760.772841,535520.798745,184756.976417,3.4309821,927,4,-1,-1,5.8241816
2921,535486.45536,184620.691482,535520.798745,184756.976417,2.7051506,928,4,-1,-1,140.54555
2922,535520.798745,184756.976417,535522.019538,184761.820893,3.2948494,928,4,-1,-1,4.9959264
2923,535443.142734,185200.997298,535448.793392,185160.673651,3.1072955,929,3,-1,-1,40.717644
2924,535385.222118,185162.537657,535448.793392,185160.673651,1.1072954,930,1,-1,-1,63.598595
2925,535347.685452,185106.026948,535360.562092,185195.761851,2.9563963,931,4,-1,-1,90.654068
2926,535360.562092,185195.761851,535361.187977,185200.123531,3.0436037,931,4,-1,-1,4.4063578
2927,535209.009152,185142.298805,535212.069087,185141.498455,4,932,5,-1,-1,3.1628728
2928,535212.069087,185141.498455,535216.628534,185140.305897,3.7562551,932,5,-1,-1,4.7128282
2929,535216.628534,185140.305897,535347.685452,185106.026948,1.3158756,932,4,-1,-1,135.46573
2930,535347.685452,185106.026948,535484.382004,185070.27291,2.9278691,932,4,-1,-1,141.29507
2931,535571.504589,185057.049547,535571.577702,185121.877161,3.9999998,933,4,-1,-1,64.827652
2932,535544.941933,185057.159016,535571.504589,185057.049547,1.9948233,934,3,-1,-1,26.562881
2933,535571.504589,185057.049547,535594.716025,185056.95389,1.9981046,934,3,-1,-1,23.211634
2934,535543.993644,184994.964008,535544.941933,185057.159016,1.9839985,935,2,-1,-1,62.202236
2935,535543.993644,184994.964008,535569.063932,184994.230338,2.0713086,936,3,-1,-1,25.08102
2936,535569.063932,184994.230338,535594.453464,184993.487326,1.9357636,936,3,-1,-1,25.400402
2937,535594.453464,184993.487326,535594.716025,185056.95389,2.0160015,937,2,-1,-1,63.467106
2938,535480.868192,185398.193835,535725.135234,185424.998252,4,938,4,-1,-1,245.73332
2939,534386.186932,184655.534451,534389.8504,184557.726963,4,939,4,-1,-1,97.876076
2940,534154.852171,184864.715478,534211.991975,184635.29702,4,940,5,-1,-1,236.42712
2941,534211.991975,184635.29702,534239.185029,184526.115885,4,940,5,-1,-1,112.51659
2942,534225.74396,184878.480488,534269.332999,184641.958723,4,941,4,-1,-1,240.50478
2943,534134.1353,184626.251873,534211.991975,184635.29702,4,942,5,-1,-1,78.380333
2944,534211.991975,184635.29702,534269.332999,184641.958723,3.0423918,942,5,-1,-1,57.726696
2945,534269.332999,184641.958723,534386.186932,184655.534451,2.0074048,942,4,-1,-1,117.63988
2946,534386.186932,184655.534451,534447.223673,184662.62551,2.9502037,942,4,-1,-1,61.447269
2947,534358.410111,184835.358794,534440.583276,184849.323307,2,943,2,-1,-1,83.35128
2948,534011.969996,184836.972142,534053.004576,184844.939799,4,944,5,-1,-1,41.800961
2949,534053.004576,184844.939799,534082.908182,184850.746162,4,944,6,-1,-1,30.462101
2950,534082.908182,184850.746162,534154.852171,184864.715478,2.9666958,944,5,-1,-1,73.287651
2951,534154.852171,184864.715478,534194.135257,184872.343048,2.1719398,944,4,-1,-1,40.016754
2952,534194.135257,184872.343048,534225.74396,184878.480488,1.8674352,944,4,-1,-1,32.199043
2953,534225.74396,184878.480488,534438.079802,184919.709595,2.9939294,944,5,-1,-1,216.30153
2954,534438.079802,184919.709595,534438.8664,184919.862328,3.1618557,944,4,-1,-1,0.80128795
2955,534080.38424,184861.806916,534082.908182,184850.746162,3.2086754,945,4,-1,-1,11.345068
2956,534082.908182,184850.746162,534111.51456,184725.383487,2.7784204,945,5,-1,-1,128.58508
2957,534111.51456,184725.383487,534134.1353,184626.251873,2.1523857,945,4,-1,-1,101.67976
2958,534134.1353,184626.251873,534147.772392,184566.489593,2.1510406,945,4,-1,-1,61.298454
2959,534147.772392,184566.489593,534159.487925,184515.148224,1.2023697,945,4,-1,-1,52.661087
2960,534159.487925,184515.148224,534160.740843,184509.657523,3.7157834,945,4,-1,-1,5.6318378
2961,533767.893888,184669.298663,533886.682775,184742.478014,2.8375611,946,4,-1,-1,139.52068
2962,533886.682775,184742.478014,534020.469962,184824.896999,2.2014127,946,4,-1,-1,157.13657
2963,534020.469962,184824.896999,534053.004576,184844.939799,2.9610264,946,5,-1,-1,38.212757
2964,534053.004576,184844.939799,534080.38424,184861.806916,3.2086754,946,4,-1,-1,32.158134
2965,534107.241385,184562.595503,534147.772392,184566.489593,3.1072955,947,3,-1,-1,40.717644
2966,534107.241385,184562.595503,534123.674167,184501.880569,3.1072955,948,3,-1,-1,62.899441
2967,534257.294738,185299.590899,534265.838886,185281.722159,3.858876,949,4,-1,-1,19.806421
2968,534265.838886,185281.722159,534282.3086,185247.278341,1.086924,949,4,-1,-1,38.178894
