Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration R5 step,T1024 Node Count,T1024 Node Count R5 step,T1024 Total Depth,T1024 Total Depth R5 step
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,8.5771065,82.713196,33.587505,178,42,383.05859,52.519531
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,55.623226,74.394005,33.841053,178,62,425.89453,113.58984
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,122.1385,73.854805,35.768536,178,62,429.00391,107.46875
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,13.437029,72.762947,30.243326,178,54,435.44141,96.417969
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,81.830719,89.582893,29.242687,178,51,353.68359,88.945312
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,11.665026,90.295944,36.673611,178,55,350.89062,82.484375
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,30,5,6.1998625,86.868698,39.150299,178,56,364.73438,80.101562
111,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,5.4097123,105.92642,50.016712,178,67,299.11328,89.75
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,30,5,67.115707,105.87665,49.816216,178,72,299.25391,104.0625
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,30,5,59.932568,105.91536,46.642746,178,67,299.14453,96.242188
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,30,5,95.806824,105.9901,42.421577,178,66,298.93359,102.68359
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,30,4,0.19636907,107.35222,39.911846,178,61,295.14062,93.230469
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,31,4,85.111755,69.896194,24.586744,178,43,453.30078,75.203125
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,31,4,7.8116097,71.989281,23.802677,178,47,440.12109,92.804688
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,32,3,80.504349,67.132118,25.034418,178,58,471.96484,134.375
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,33,2,51.585476,53.71521,17.998938,178,46,589.85156,117.5625
120,530712.688736,183881.917068,530813.405101,183883.932657,4,34,5,100.73653,108.31992,37.795715,178,65,292.50391,111.78516
121,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,104.9296,108.30835,42.613636,178,75,292.53516,132
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,34,5,68.548241,108.05441,45.155617,178,79,293.22266,138.21094
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,34,4,42.451733,107.82458,43.999676,178,65,293.84766,96.023438
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,34,5,44.519382,107.82172,45.757504,178,55,293.85547,66.109375
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,34,5,83.344948,107.70002,43.082817,178,54,294.1875,67.683594
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,34,5,11.506542,107.9753,46.770523,178,56,293.4375,67.050781
127,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,6.0284462,105.04842,46.43541,178,61,301.61328,80.132812
128,531174.661661,183891.162317,531180.080455,183891.270761,4,34,5,5.419879,86.131653,35.269806,178,60,367.85547,102.07031
129,531246.846002,183898.187827,531247.100529,183877.364907,2,35,2,20.824474,66.399551,25.410933,178,59,477.17188,136.98828
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,36,3,36.565041,69.343452,24.902723,178,50,456.91406,100.39062
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,37,2,15.346227,64.659164,18.829536,178,39,490.01562,80.777344
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,38,3,58.902714,60.524754,18.08149,178,40,523.48828,88.488281
133,531177.606206,183921.056404,531180.045933,183891.686354,4,39,5,29.471209,102.01877,45.016289,178,69,310.57031,105.76172
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,39,5,0.41702437,102.04957,46.284649,178,66,310.47656,94.113281
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,39,4,143.56969,103.00992,45.929413,178,61,307.58203,81.015625
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,39,5,220.49948,102.03416,40.515388,178,59,310.52344,85.917969
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,39,4,4.6648011,102.77367,34.176266,178,55,308.28906,88.511719
138,531204.529923,183526.934938,531210.219332,183528.451248,4,40,5,5.8880019,92.347939,38.705296,178,61,343.09375,96.136719
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,40,5,86.80928,90.596497,37.306534,178,58,349.72656,90.171875
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,40,3,83.826813,89.554214,34.131512,178,50,353.79688,73.246094
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,41,4,33.475399,84.994438,29.877771,178,51,372.77734,87.054688
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,41,4,178.53447,90.345222,35.897453,178,57,350.69922,90.507812
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,41,4,116.47486,91.196457,38.452469,178,59,347.42578,90.527344
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,41,3,6.8355722,81.984169,28.869143,178,50,386.46484,86.597656
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,5,314.13025,75.341393,34.233765,178,56,420.53906,91.605469
146,531156.88079,183889.431752,531157.130183,183890.811468,4,42,5,1.4020742,73.82859,33.705368,178,53,429.15625,83.339844
147,531029.291446,183888.25309,531030.230687,183855.631128,2,43,2,32.635479,67.405479,21.677378,178,46,470.05078,97.613281
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,44,4,55.385048,77.915718,33.656288,178,51,406.64453,77.28125
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,44,4,8.0672827,74.798775,28.217354,178,47,423.58984,78.285156
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,45,4,4.1139636,72.8479,32.239952,178,52,434.93359,83.871094
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,45,4,56.198662,72.054512,32.18449,178,52,439.72266,84.015625
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,45,4,13.687597,69.173141,28.436089,178,55,458.03906,106.37891
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,46,4,5.1633153,69.908241,23.70804,178,45,453.22266,85.414062
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,46,4,48.794411,74.486237,31.298677,178,45,425.36719,64.699219
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,46,4,5.8241816,69.014816,24.183342,178,39,459.08984,62.894531
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,47,4,166.88625,70.657295,27.76757,178,42,448.41797,63.527344
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,47,4,4.9959264,69.792152,25.789156,178,44,453.97656,75.070312
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,48,2,114.23679,80.295242,21.452045,178,32,394.59375,47.734375
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,48,3,55.910877,80.140541,27.120062,178,45,395.35547,74.667969
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,49,4,81.635147,81.069695,27.056911,178,39,390.82422,56.214844
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,49,4,108.93696,81.778351,30.06151,178,42,387.4375,58.679688
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,49,4,30.296598,82.620514,31.593765,178,48,383.48828,72.925781
