Ref,x1,y1,x2,y2,Connectivity,Data Map Ref,Line Length
102,531311.820019,183768.52249,531357.702997,183744.164384,2,102,51.947716
103,531357.702997,183744.164384,531379.770132,183732.449503,4,103,24.983932
104,531379.770132,183732.449503,531387.345888,183728.427727,2,104,8.5771065
105,531304.31269,183959.573805,531306.49671,183903.993471,2,105,55.623226
106,531306.49671,183903.993471,531311.29242,183781.949157,2,106,122.1385
107,531311.29242,183781.949157,531311.820019,183768.52249,3,107,13.437029
108,531075.434914,183881.504842,531156.88079,183889.431752,2,108,81.830719
109,531156.88079,183889.431752,531168.490957,183890.561739,4,109,11.665026
110,531168.490957,183890.561739,531174.661661,183891.162317,5,110,6.1998625
111,531174.661661,183891.162317,531180.045933,183891.686354,5,111,5.4097123
112,531180.045933,183891.686354,531246.846002,183898.187827,4,112,67.115707
113,531246.846002,183898.187827,531306.49671,183903.993471,4,113,59.932568
114,531306.49671,183903.993471,531401.85296,183913.274241,3,114,95.806824
115,531401.85296,183913.274241,531402.048405,183913.293264,4,115,0.19636907
116,531056.009523,183972.375108,531073.801917,183889.143858,3,116,85.111755
117,531073.801917,183889.143858,531075.434914,183881.504842,2,117,7.8116097
118,530986.848212,183887.403694,531004.835486,183965.872851,1,118,80.504349
119,531004.835486,183965.872851,531056.009523,183972.375108,2,119,51.585476
120,530712.688736,183881.917068,530813.405101,183883.932657,2,120,100.73653
121,530813.405101,183883.932657,530918.31369,183886.032144,5,121,104.9296
122,530918.31369,183886.032144,530986.848212,183887.403694,4,122,68.548241
123,530986.848212,183887.403694,531029.291446,183888.25309,3,123,42.451733
124,531029.291446,183888.25309,531073.801917,183889.143858,3,124,44.519382
125,531073.801917,183889.143858,531157.130183,183890.811468,4,125,83.344948
126,531157.130183,183890.811468,531168.634422,183891.041697,2,126,11.506542
127,531168.634422,183891.041697,531174.661661,183891.162317,6,127,6.0284462
128,531174.661661,183891.162317,531180.080455,183891.270761,5,128,5.419879
129,531246.846002,183898.187827,531247.100529,183877.364907,2,129,20.824474
130,531380.713483,184038.933676,531417.15255,184035.901078,1,130,36.565041
131,531367.863502,184047.323233,531380.713483,184038.933676,1,131,15.346227
132,531360.813158,184105.802482,531367.863502,184047.323233,3,132,58.902714
133,531177.606206,183921.056404,531180.045933,183891.686354,3,133,29.471209
134,531180.045933,183891.686354,531180.080455,183891.270761,5,134,0.41702437
135,531180.080455,183891.270761,531191.965639,183748.193874,4,135,143.56969
136,531191.965639,183748.193874,531210.219332,183528.451248,5,136,220.49948
137,531210.219332,183528.451248,531210.6055,183523.802459,4,137,4.6648011
138,531204.529923,183526.934938,531210.219332,183528.451248,4,138,5.8880019
139,531210.219332,183528.451248,531294.100666,183550.806851,4,139,86.80928
140,531294.100666,183550.806851,531375.100124,183572.394391,2,140,83.826813
141,530912.566958,183677.466796,530942.320478,183662.126313,3,141,33.475399
142,530942.320478,183662.126313,531101.00503,183580.310867,3,142,178.53447
143,531101.00503,183580.310867,531204.529923,183526.934938,3,143,116.47486
144,531204.529923,183526.934938,531210.6055,183523.802459,3,144,6.8355722
145,531101.00503,183580.310867,531156.88079,183889.431752,2,145,314.13025
146,531156.88079,183889.431752,531157.130183,183890.811468,5,146,1.4020742
147,531029.291446,183888.25309,531030.230687,183855.631128,2,147,32.635479
148,531191.965639,183748.193874,531247.250971,183744.871861,3,148,55.385048
149,531247.250971,183744.871861,531255.303728,183744.387983,4,149,8.0672827
150,531247.250971,183744.871861,531250.811287,183746.933134,4,150,4.1139636
151,531250.811287,183746.933134,531299.446867,183775.091082,3,151,56.198662
152,531299.446867,183775.091082,531311.29242,183781.949157,2,152,13.687597
153,531250.811287,183746.933134,531255.303728,183744.387983,3,153,5.1633153
154,531255.303728,183744.387983,531297.758244,183720.335774,2,154,48.794411
155,531297.758244,183720.335774,531302.825685,183717.464863,1,155,5.8241816
156,531294.100666,183550.806851,531302.825685,183717.464863,2,156,166.88625
157,531302.825685,183717.464863,531303.086878,183722.453957,3,157,4.9959264
158,530707.321114,183575.611283,530723.063265,183688.758214,2,158,114.23679
159,530723.063265,183688.758214,530730.767941,183744.135682,2,159,55.910877
160,530723.063265,183688.758214,530804.10279,183678.914813,3,160,81.635147
161,530804.10279,183678.914813,530912.244928,183665.779416,3,161,108.93696
162,530912.244928,183665.779416,530942.320478,183662.126313,3,162,30.296598
163,531140.793407,184138.095983,531154.133119,184099.625494,2,163,40.717644
164,531091.400795,184089.16428,531154.133119,184099.625494,0,164,63.598595
165,531060.553704,184121.39462,531060.782857,184116.994225,4,165,4.4063578
166,531060.782857,184116.994225,531065.497338,184026.462826,4,166,90.654068
167,530922.424921,184035.240495,531065.497338,184026.462826,4,167,143.34143
168,531065.497338,184026.462826,531206.527247,184017.810468,3,168,141.29507
169,531282.101437,184085.298468,531294.562642,184021.679734,4,169,64.827652
170,531268.479945,184016.651855,531294.562642,184021.679734,2,170,26.562881
171,531294.562642,184021.679734,531317.354673,184026.073282,2,171,23.211634
172,531268.479945,184016.651855,531279.573531,183955.446867,0,172,62.202236
173,531279.573531,183955.446867,531304.31269,183959.573805,1,173,25.08102
174,531304.31269,183959.573805,531329.366877,183963.753297,2,174,25.400402
175,531317.354673,184026.073282,531329.366877,183963.753297,1,175,63.467106
176,530810.256885,183814.547701,530916.388132,183816.148133,3,176,106.14331
177,531139.683702,184338.865635,531374.160466,184412.387824,3,177,245.73332
