Ref,x1,y1,x2,y2,Angular Connectivity,Axial Choice,Axial Choice [Line Length Wgt],Axial Choice [Line Length Wgt][Norm],Axial Choice [Norm],Axial Connectivity,Axial Integration [HH],Axial Line Length,Axial Line Ref,Axial Mean Depth,Axial Mean Depth [Line Length Wgt],Axial Node Count,Axial RA,Axial Total Depth,Axial Total Line Length,Connectivity,Segment Length
79,531065.907547,184257.768052,531065.977455,184256.612488,4,11,1241007,0.013044897,0.0062146895,3,1.1060178,64.308983,15,4.1333332,3.658536,61,0.10621469,248,13793.731,6,1.1576769
80,531065.977455,184256.612488,531069.101814,184204.96794,4,11,1241007,0.013044897,0.0062146895,3,1.1060178,64.308983,15,4.1333332,3.658536,61,0.10621469,248,13793.731,6,51.738968
81,531069.101814,184204.96794,531069.386482,184200.262479,2,11,1241007,0.013044897,0.0062146895,3,1.1060178,64.308983,15,4.1333332,3.658536,61,0.10621469,248,13793.731,3,4.7140641
82,531014.260003,184282.658893,531065.907547,184257.768052,2,0,912474,0.0095915096,0,2,1.0718112,68.827721,16,4.2333331,3.7678835,61,0.10960452,254,13793.731,3,57.332561
83,531065.907547,184257.768052,531067.505019,184256.998171,4,0,912474,0.0095915096,0,2,1.0718112,68.827721,16,4.2333331,3.7678835,61,0.10960452,254,13793.731,6,1.773312
84,531067.505019,184256.998171,531076.262863,184252.777446,2,0,912474,0.0095915096,0,2,1.0718112,68.827721,16,4.2333331,3.7678835,61,0.10960452,254,13793.731,3,9.7218494
85,531055.856337,184254.05708,531065.977455,184256.612488,2,135,7150034.5,0.075157896,0.076271184,4,1.506749,403.23331,17,3.3,2.8284242,61,0.077966101,198,13793.731,3,10.438733
86,531065.977455,184256.612488,531067.505019,184256.998171,4,135,7150034.5,0.075157896,0.076271184,4,1.506749,403.23331,17,3.3,2.8284242,61,0.077966101,198,13793.731,6,1.5755012
87,531067.505019,184256.998171,531158.779512,184280.043406,4,135,7150034.5,0.075157896,0.076271184,4,1.506749,403.23331,17,3.3,2.8284242,61,0.077966101,198,13793.731,6,94.138809
88,531158.779512,184280.043406,531391.966563,184338.919115,4,135,7150034.5,0.075157896,0.076271184,4,1.506749,403.23331,17,3.3,2.8284242,61,0.077966101,198,13793.731,6,240.50478
89,531391.966563,184338.919115,531446.820644,184352.768824,2,135,7150034.5,0.075157896,0.076271184,4,1.506749,403.23331,17,3.3,2.8284242,61,0.077966101,198,13793.731,3,56.575478
90,531101.674141,184455.949289,531102.93655,184452.060599,2,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,3,4.08847
91,531102.93655,184452.060599,531122.455508,184391.934911,4,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,6,63.214619
92,531122.455508,184391.934911,531139.683702,184338.865635,4,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,6,55.795689
93,531139.683702,184338.865635,531158.779512,184280.043406,4,443,24574954,0.25832069,0.2502825,8,2.235821,407.3226,18,2.55,2.0906422,61,0.052542374,153,13793.731,6,61.844196
