Ref,x,y,Connectivity,Gate Counts,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
6357008,4.52000000,5.44000000,110.00000000,2.00000000,0.18076308,0.39541849,232.87791443,0.31038806,0.78839564,0.00413000,0.78680849,2.39679718,36.10664368,14.54720020
6357019,4.52000000,5.88000000,180.00000000,26.00000000,0.29626080,0.11784840,150.95359802,0.33338580,1.66797423,0.03851700,3.75927615,5.62056780,87.49683380,57.74560165
6357020,4.52000000,5.92000000,289.00000000,102.00000000,0.43832701,0.06547938,173.58143616,0.76245522,3.53842139,0.07851700,6.78443718,9.17174149,279.39331055,491.28799438
6357021,4.52000000,5.96000000,328.00000000,222.00000000,0.50174242,0.07482528,178.72383118,0.96382350,3.53753138,0.09135334,6.39855242,9.17954540,379.33331299,779.53601074
6357022,4.52000000,6.00000000,334.00000000,270.00000000,0.50190759,0.07443361,182.22177124,0.96432883,3.53785062,0.08908483,6.42495394,9.20518017,381.28097534,779.76641846
6357023,4.52000000,6.04000000,234.00000000,93.00000000,0.39239055,0.07267650,190.40397644,0.56903702,3.05132890,0.07496700,6.07330942,8.23696423,154.06967163,162.87840271
6357024,4.52000000,6.08000000,174.00000000,33.00000000,0.29003245,0.12425629,208.80686951,0.35477808,1.67030227,0.03496700,3.59539938,5.41587973,86.32734680,59.85279846
6357035,4.52000000,6.52000000,309.00000000,7.00000000,0.49440584,0.23665942,164.27522278,0.63896936,1.87938988,0.02030100,2.14573407,5.12371302,211.89518738,207.03039551
6357036,4.52000000,6.56000000,314.00000000,13.00000000,0.50366676,0.13976778,167.78930664,0.62439299,2.60087371,0.06030100,3.66285896,6.72934914,209.37640381,203.80160522
6357037,4.52000000,6.60000000,354.00000000,37.00000000,0.57040381,0.11690554,172.57527161,0.74169743,3.01736736,0.09091300,4.52743864,7.83030367,289.15295410,400.42239380
6357038,4.52000000,6.64000000,407.00000000,211.00000000,0.67237878,0.11184397,176.69464111,0.89772630,3.35517788,0.09091300,5.22552633,8.69171810,384.19479370,657.26397705
6357039,4.52000000,6.68000000,439.00000000,437.00000000,0.69464296,0.10740696,179.88854980,0.90783739,3.35447311,0.09706343,5.41962862,9.01507950,437.18692017,771.10083008
6357040,4.52000000,6.72000000,403.00000000,154.00000000,0.68084294,0.10695145,183.05140686,0.90644413,3.35520816,0.09091300,5.49220514,8.94406796,369.09365845,611.41278076
6357041,4.52000000,6.76000000,363.00000000,49.00000000,0.58270019,0.10837491,187.25569153,0.74700892,3.01745796,0.09091300,4.91755009,8.21983528,298.44094849,422.46881104
6357042,4.52000000,6.80000000,324.00000000,21.00000000,0.51568341,0.11131551,192.27026367,0.62113672,2.60352898,0.06589000,4.48662376,7.62989712,221.27253723,224.16319275
6357043,4.52000000,6.84000000,313.00000000,20.00000000,0.50207907,0.21175131,195.61511230,0.63751054,1.87864017,0.02589000,2.40184975,5.45855808,213.77729797,207.11039734
6422538,4.56000000,5.20000000,223.00000000,559.00000000,0.35944065,0.15097958,152.74482727,0.04913149,1.02090335,0.02550500,3.27177954,5.46964836,83.24864197,41.54240036
6422539,4.56000000,5.24000000,178.00000000,335.00000000,0.28416613,0.14474280,214.19059753,0.12622568,1.02318382,0.00636800,3.09322548,4.96698236,68.53653717,36.48160172
6422555,4.56000000,5.88000000,176.00000000,25.00000000,0.28898308,0.12353400,158.64630127,0.43487924,1.70769024,0.03851700,3.65431905,5.42185497,95.44427490,72.45760345
6422556,4.56000000,5.92000000,299.00000000,100.00000000,0.45441484,0.06564709,172.46202087,0.77082396,3.57840466,0.04903500,6.89474535,9.32660198,293.95440674,518.89599609
6422557,4.56000000,5.96000000,343.00000000,271.00000000,0.52179825,0.07510560,178.50738525,0.94293523,3.57752681,0.05312847,6.46061230,9.34372616,392.02639771,808.16802979
6422558,4.56000000,6.00000000,344.00000000,253.00000000,0.52190977,0.07435675,182.82867432,0.94382733,3.57784176,0.04912541,6.50941229,9.39166164,392.77532959,808.31518555
