Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,Topological Choice,Topological Choice [SLW],Topological Mean Depth,Topological Mean Depth [SLW],Topological Total Depth,Topological Total Length,Topological Total Nodes
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,32,3,80.504349,221,1126054.2,3.118644,3.0441318,552,12216.636,178
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,33,2,51.585476,177,627539.94,3.7909606,3.78742,671,12216.636,178
120,530712.688736,183881.917068,530813.405101,183883.932657,4,34,5,100.73653,860,5406002.5,2.1355932,2.062705,378,12216.636,178
121,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,104.9296,1770,8963365,2.1355932,2.0634193,378,12216.636,178
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,34,5,68.548241,3100,13978242,2.1355932,2.0572398,378,12216.636,178
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,34,4,42.451733,3071,13104570,2.1355932,2.0528297,378,12216.636,178
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,34,5,44.519382,3142,13140592,2.1355932,2.0531785,378,12216.636,178
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,34,5,83.344948,3123,13084355,2.1355932,2.0597484,378,12216.636,178
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,34,5,11.506542,3084,12447503,2.1355932,2.0476251,378,12216.636,178
127,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,6.0284462,2599,10660243,2.1355932,2.0467064,378,12216.636,178
128,531174.661661,183891.162317,531180.080455,183891.270761,4,34,5,5.419879,1774,7633633,2.1355932,2.0466044,378,12216.636,178
129,531246.846002,183898.187827,531247.100529,183877.364907,2,35,2,20.824474,177,253971.38,3.1864407,3.2431462,564,12216.636,178
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,36,3,36.565041,308,583202.81,3.1468925,3.2284718,557,12216.636,178
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,37,2,15.346227,178,189397.55,3.9661016,4.0547094,702,12216.636,178
