Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
393263,1.02000000,7.62000000,31.00000000,7.05613804,2.11680007,1.96646953,2.69876051,0.32375315,0.79017389,4.07077742,1866.00000000,2.87770104
393264,1.02000000,7.68000000,43.00000000,15.32364368,8.39519978,1.99673247,2.71726489,0.32597297,0.79079837,4.04986572,1866.00000000,2.84952450
393265,1.02000000,7.74000000,30.00000000,6.58433914,1.79639995,1.95003402,2.68936872,0.32262647,0.78985566,4.08150148,1866.00000000,2.89655685
458757,1.08000000,5.10000000,96.00000000,40.60129547,25.17840004,2.04497528,3.70287538,0.44421041,0.82015550,3.23806977,1866.00000000,2.40928626
458758,1.08000000,5.16000000,106.00000000,46.38515472,31.04640007,1.93186224,4.11058569,0.49312082,0.83056223,3.01608586,1866.00000000,2.37809801
458759,1.08000000,5.22000000,106.00000000,44.24412155,30.00600052,1.93349445,4.10949278,0.49298969,0.83053535,3.01662207,1866.00000000,2.37702942
458760,1.08000000,5.28000000,91.00000000,27.01309013,11.20320034,2.01511359,3.75596642,0.45057940,0.82155842,3.20643425,1866.00000000,2.41611767
458761,1.08000000,5.34000000,85.00000000,23.02655602,8.24040031,2.00195622,3.72159934,0.44645661,0.82065201,3.22680974,1866.00000000,2.43710876
458762,1.08000000,5.40000000,76.00000000,19.08142853,5.80319977,2.03664112,3.05269647,0.36621258,0.80158991,3.71474528,1866.00000000,2.66317391
458763,1.08000000,5.46000000,75.00000000,21.57253456,7.52759981,2.04199457,3.05571413,0.36657459,0.80168277,3.71206427,1866.00000000,2.65731025
458765,1.08000000,5.58000000,96.00000000,44.04328918,26.25839996,1.92051280,4.06517696,0.48767340,0.82944298,3.03860593,1866.00000000,2.39908886
458766,1.08000000,5.64000000,107.00000000,46.63488007,26.42399979,1.91126049,4.20566034,0.50452632,0.83287561,2.97050929,1866.00000000,2.36938214
458767,1.08000000,5.70000000,106.00000000,42.27201843,22.10759926,1.89685738,4.18176460,0.50165969,0.83229792,2.98176932,1866.00000000,2.38836575
458768,1.08000000,5.76000000,107.00000000,39.94696426,19.58040047,1.89853072,4.18402863,0.50193131,0.83235276,2.98069715,1866.00000000,2.38646007
458769,1.08000000,5.82000000,103.00000000,35.41400909,15.86880016,1.89456701,4.17950296,0.50138837,0.83224314,2.98284173,1866.00000000,2.39044261
458770,1.08000000,5.88000000,109.00000000,38.04235840,17.36280060,1.90323877,4.19083548,0.50274789,0.83251750,2.97747993,1866.00000000,2.38082933
458771,1.08000000,5.94000000,223.00000000,289.69946289,689.12640381,1.79164267,5.79520130,0.69521344,0.86672390,2.43002677,1866.00000000,2.13510489
458772,1.08000000,6.00000000,224.00000000,291.07287598,690.66357422,1.77163899,5.85225391,0.70205766,0.86780155,2.41608572,1866.00000000,2.14251900
458773,1.08000000,6.06000000,112.00000000,42.29165268,22.46039963,1.81045437,4.41594362,0.52975267,0.83785522,2.87667561,1866.00000000,2.39910698
458774,1.08000000,6.12000000,107.00000000,40.93088913,22.37039948,1.80815566,4.19538593,0.50329375,0.83262753,2.97533512,1866.00000000,2.45947647
458775,1.08000000,6.18000000,105.00000000,41.78563690,23.66279984,1.75300956,4.39584827,0.52734196,0.83738720,2.88525462,1866.00000000,2.45318890
458776,1.08000000,6.24000000,99.00000000,40.97061157,24.20999908,1.80018258,4.02809525,0.48322499,0.82852197,3.05737257,1866.00000000,2.51392078
