Ref,x,y,Connectivity,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
524312,1.14,6.24,97,1.3863602,2.2314107,1.9563444,1866,36.671745,19.746
524313,1.14,6.3,100,1.4170027,2.2400107,1.959102,1866,42.558544,25.344
524314,1.14,6.36,102,1.4359273,2.2472737,1.9635079,1866,47.503361,29.912399
524317,1.14,6.54,23,1.7485232,2.2770238,1.9861915,1866,5.4951282,1.9332
524318,1.14,6.6,37,2.0401597,2.3284688,1.9969374,1866,20.823202,14.652
524321,1.14,6.78,22,1.9329581,2.3401954,2.0390308,1866,8.022172,4.0500002
524327,1.14,7.14,54,2.8091452,2.4903436,2.1654897,1866,20.284323,10.8432
524336,1.14,7.68,56,2.9685884,2.8892379,2.4614654,1866,18.961998,8.7083998
589829,1.2,5.1,114,1.5702052,2.460367,2.1814599,1866,61.304657,52.4412
589830,1.2,5.16,123,1.4708565,2.4296086,2.1521716,1866,62.462608,50.479198
589831,1.2,5.22,137,1.4439231,2.4067791,2.124532,1866,72.263565,59.630402
589832,1.2,5.28,129,1.4497795,2.3865712,2.0985949,1866,61.137226,46.220402
589833,1.2,5.34,132,1.535023,2.3700752,2.0743883,1866,61.342495,43.9128
589834,1.2,5.4,140,1.5914865,2.3576045,2.0519173,1866,63.492718,41.799599
589835,1.2,5.46,153,1.5238926,2.3394728,2.031163,1866,69.211151,42.627602
589836,1.2,5.52,146,1.6042055,2.3215585,2.0120771,1866,65.141716,38.141998
589837,1.2,5.58,121,1.5900791,2.3033183,1.994604,1866,53.14904,30.632401
589838,1.2,5.64,111,1.5681677,2.2836223,1.9787641,1866,45.477665,24.9984
589839,1.2,5.7,109,1.5379649,2.2630732,1.9645814,1866,41.70174,21.5424
589840,1.2,5.76,108,1.5016758,2.2428308,1.9520715,1866,38.9856,19.0404
589841,1.2,5.82,105,1.4970458,2.2151358,1.9412472,1866,35.684307,16.452
589842,1.2,5.88,108,1.3705703,2.1905663,1.9321276,1866,35.718262,15.93
589843,1.2,5.94,230,1.2537671,2.1771152,1.9247288,1866,278.32855,631.59479
589844,1.2,6,230,1.2522984,2.1705451,1.9190643,1866,278.6875,632.14203
589845,1.2,6.06,110,1.4400483,2.173888,1.9151344,1866,38.030186,18.3564
589846,1.2,6.12,107,1.4846035,2.1890464,1.9129325,1866,38.561085,19.889999
589847,1.2,6.18,106,1.4417841,2.2021058,1.9124418,1866,40.750961,22.662001
589848,1.2,6.24,106,1.4840193,2.212981,1.9136485,1866,43.925285,26.294399
589849,1.2,6.3,106,1.5160122,2.2244518,1.9165365,1866,47.761196,30.697201
589850,1.2,6.36,105,1.5387273,2.2329412,1.9210892,1866,51.250343,34.945202
589851,1.2,6.42,104,1.5547944,2.2409699,1.9272654,1866,55.635754,40.507198
589852,1.2,6.48,92,1.6385638,2.2490947,1.9350049,1866,57.394238,45.953999
589853,1.2,6.54,93,1.7027893,2.2551358,1.9443069,1866,59.157009,49.604401
589854,1.2,6.6,103,1.6706508,2.2474358,1.9552288,1866,65.310448,56.919601
589855,1.2,6.66,195,1.6087545,2.2491336,1.967824,1866,282.12589,611.13599
589856,1.2,6.72,135,1.6043082,2.2568583,1.9820949,1866,176.81017,357.59161
589857,1.2,6.78,63,1.8171306,2.2844729,1.9980388,1866,46.027039,50.018398
589862,1.2,7.08,56,3.0184205,2.427274,2.1014307,1866,21.019369,9.7740002
589863,1.2,7.14,91,2.4487584,2.4429243,2.1268179,1866,34.671635,16.999201
589864,1.2,7.2,59,2.4635866,2.4876585,2.1538775,1866,18.499571,7.4664001
589865,1.2,7.26,53,2.5452209,2.5358531,2.1825874,1866,13.908566,4.5071998
589866,1.2,7.32,55,2.5775125,2.5761092,2.2129185,1866,14.38763,4.7124
589867,1.2,7.38,56,2.6118486,2.6201673,2.2448499,1866,14.859816,5.0507998
589868,1.2,7.44,55,2.6535079,2.6663795,2.2783561,1866,14.696407,5.1012001
589869,1.2,7.5,57,2.6794732,2.7136772,2.3133993,1866,16.709593,6.7284002
589870,1.2,7.56,58,2.6967907,2.7621295,2.3499255,1866,18.372242,8.1216002
589871,1.2,7.62,70,2.7001784,2.8119457,2.3878782,1866,26.228809,13.572
