Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
655369,1.26,5.34,1.2194142,1866,2275.427,92,26.100863,9.7812004
655370,1.26,5.4,1.3224499,1866,2467.6917,84,22.154079,7.0092001
655371,1.26,5.46,1.5349628,1866,2864.2405,77,22.193871,7.5348001
655373,1.26,5.58,1.4101568,1866,2631.3528,100,45.400215,26.607599
655374,1.26,5.64,1.3636299,1866,2544.5334,106,44.579544,24.2964
655375,1.26,5.7,1.3191643,1866,2461.5605,104,40.012066,19.9692
655376,1.26,5.76,1.2905787,1866,2408.22,104,37.269123,17.3412
655377,1.26,5.82,1.2579449,1866,2347.3252,103,35.248875,15.7536
655378,1.26,5.88,1.1514803,1866,2148.6624,101,32.400887,13.5576
655379,1.26,5.94,0.95084918,1866,1774.2845,226,268.78516,601.01282
655380,1.26,6,0.95002681,1866,1772.75,225,268.51459,601.1676
655381,1.26,6.06,1.1586087,1866,2161.9639,100,33.13113,15.2064
655382,1.26,6.12,1.2684332,1866,2366.8965,99,34.673462,17.0352
655383,1.26,6.18,1.307304,1866,2439.4292,97,35.487186,18.219601
655384,1.26,6.24,1.3557007,1866,2529.7375,96,38.429726,21.571199
655385,1.26,6.3,1.4154615,1866,2641.2512,96,42.966614,26.614799
655386,1.26,6.36,1.4949858,1866,2789.6436,95,47.200668,31.464001
655390,1.26,6.6,1.2470031,1866,2326.9077,53,26.022516,18.8244
655391,1.26,6.66,1.0382103,1866,1937.3003,162,243.24532,548.5788
655392,1.26,6.72,0.97023505,1866,1810.4586,103,95.898705,140.7204
655393,1.26,6.78,1.0946337,1866,2042.5865,45,18.283974,10.9188
655395,1.26,6.9,1.4887962,1866,2778.0938,36,14.515101,7.9271998
655396,1.26,6.96,1.5118533,1866,2821.1184,44,16.566185,8.316
655398,1.26,7.08,1.4710927,1866,2745.0591,64,21.482931,9.2376003
655399,1.26,7.14,1.4474057,1866,2700.8591,97,37.43161,18.118799
655400,1.26,7.2,1.4665197,1866,2736.5259,68,20.041071,7.6283998
655401,1.26,7.26,1.4803706,1866,2762.3716,57,15.192017,5.3676
655402,1.26,7.32,1.4804193,1866,2762.4624,57,14.755762,5.1479998
655403,1.26,7.38,1.4821994,1866,2765.7842,55,14.167813,5.1408
