Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length
178,531075.434914,183881.504842,531081.160429,183854.721389,2,31,3,27.38859
179,530979.070082,183853.471746,530986.848212,183887.403694,2,32,3,34.812016
180,530986.848212,183887.403694,531004.835486,183965.872851,4,32,6,80.504349
181,531004.835486,183965.872851,531006.056167,183971.198048,2,32,3,5.4633121
182,531002.370625,183965.559662,531004.835486,183965.872851,2,33,3,2.484679
183,531004.835486,183965.872851,531056.009523,183972.375108,4,33,6,51.585476
184,531056.009523,183972.375108,531057.760946,183972.597647,2,33,3,1.765505
185,530675.049944,183881.16382,530712.688736,183881.917068,2,34,3,37.646328
186,530712.688736,183881.917068,530813.405101,183883.932657,4,34,6,100.73653
187,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,104.9296
188,530918.31369,183886.032144,530986.848212,183887.403694,4,34,6,68.548241
189,530986.848212,183887.403694,531029.291446,183888.25309,4,34,6,42.451733
190,531029.291446,183888.25309,531073.801917,183889.143858,4,34,6,44.519382
191,531073.801917,183889.143858,531157.130183,183890.811468,4,34,6,83.344948
192,531157.130183,183890.811468,531168.634422,183891.041697,4,34,6,11.506542
193,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,6.0284462
194,531174.661661,183891.162317,531180.080455,183891.270761,4,34,6,5.419879
195,531180.080455,183891.270761,531237.536258,183892.420597,2,34,3,57.467308
196,531246.803707,183901.647956,531246.846002,183898.187827,2,35,3,3.4603877
197,531246.846002,183898.187827,531247.100529,183877.364907,2,35,3,20.824474
198,531378.13104,184039.148597,531380.713483,184038.933676,2,36,3,2.5913708
199,531380.713483,184038.933676,531417.15255,184035.901078,4,36,6,36.565041
200,531417.15255,184035.901078,531423.297484,184035.389673,2,36,3,6.1661777
201,531365.837654,184048.645878,531367.863502,184047.323233,2,37,3,2.4193904
202,531367.863502,184047.323233,531380.713483,184038.933676,4,37,6,15.346227
203,531380.713483,184038.933676,531385.988583,184035.489644,2,37,3,6.2998443
204,531360.008395,184112.477607,531360.813158,184105.802482,2,38,3,6.7234621
205,531360.813158,184105.802482,531367.863502,184047.323233,4,38,6,58.902714
206,531367.863502,184047.323233,531368.607994,184041.148025,2,38,3,6.2199244
207,531176.638237,183932.709065,531177.606206,183921.056404,2,39,3,11.692797
208,531177.606206,183921.056404,531180.045933,183891.686354,4,39,6,29.471209
209,531180.045933,183891.686354,531180.080455,183891.270761,4,39,6,0.41702437
