Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability
720928,1.32,6.72,97,64.430847,59.608799,0.4349227,1.1858377,0.15849674
720929,1.32,6.78,54,24.484844,15.8436,0.62962961,0.83451742,0.12471132
720930,1.32,6.84,55,25.752935,16.1532,0.68754208,0.81921101,0.12168141
720931,1.32,6.9,61,28.505531,17.247601,0.64972675,0.90755671,0.104811
720932,1.32,6.96,82,37.344036,22.057199,0.46492019,1.726076,0.12713179
720933,1.32,7.02,68,28.316906,16.2684,0.68964005,1.0381446,0.14020619
720934,1.32,7.08,69,23.126705,9.9108,0.67902815,1.1689773,0.18648648
720935,1.32,7.14,101,38.473366,18.216,0.44039604,1.8477358,0.22902495
720936,1.32,7.2,72,21.617157,8.3123999,0.63458526,1.2357377,0.19354838
720937,1.32,7.26,64,18.011038,6.7248001,0.77132934,1.0225784,0.18028168
720938,1.32,7.32,60,16.908792,6.5771999,0.85762709,0.92034829,0.16949153
720939,1.32,7.38,59,16.792269,6.9191999,0.87317359,0.89733845,0.16666667
720940,1.32,7.44,59,17.511274,7.8263998,0.87317359,0.89733845,0.16666667
720941,1.32,7.5,62,19.511091,9.3923998,0.81438392,0.96313882,0.17514125
720942,1.32,7.56,64,21.649683,11.2896,0.77033728,1.0303094,0.18079096
720943,1.32,7.62,78,29.534483,16.149599,0.57442558,1.3680495,0.20418848
720944,1.32,7.68,100,42.616943,23.8536,0.46606061,1.8675249,0.25773194
720945,1.32,7.74,69,30.333668,18.892799,0.67391306,1.1895752,0.19491525
786437,1.38,5.1,78,28.498459,13.05,0.84615386,0.84573865,0.23353294
786438,1.38,5.16,90,28.905073,11.7396,0.6986267,1.1624514,0.35433072
786439,1.38,5.22,104,37.122131,18.5256,0.59932786,1.3109623,0.28032345
786440,1.38,5.28,79,21.782454,7.4196,0.81921452,1.0365231,0.37619048
786441,1.38,5.34,75,21.029879,7.2467999,0.87387389,0.92582512,0.35885167
786442,1.38,5.4,72,21.405773,7.7291999,0.94053209,0.87391156,0.35467979
786443,1.38,5.46,72,23.6397,9.1512003,0.94053209,0.87391156,0.35467979
786451,1.38,5.94,168,235.0116,537.26038,0.69154549,1.153831,0.1971831
786452,1.38,6,174,240.27968,541.6272,0.64759815,1.1905298,0.18872017
786462,1.38,6.6,25,6.9630108,2.934,0.52999997,0.44956407,0.067385443
786463,1.38,6.66,156,222.49254,490.7196,0.57576507,1.3632079,0.17587373
786464,1.38,6.72,52,23.001314,15.714,0.59954751,0.69972724,0.12293144
786468,1.38,6.96,25,8.1457586,3.7548001,0.56999999,0.98528147,0.071428575
786470,1.38,7.08,57,21.095362,9.7343998,0.75814539,0.96880764,0.27536231
786471,1.38,7.14,90,33.55788,15.7104,0.46666667,1.701086,0.3125
786472,1.38,7.2,69,25.863102,14.958,0.56095481,1.1710123,0.14902808
786473,1.38,7.26,60,19.849401,10.5696,0.7355932,0.92737925,0.12875536
786474,1.38,7.32,57,15.631636,5.5152001,0.81892228,0.90914106,0.16285715
786475,1.38,7.38,55,14.957966,5.4359999,0.87003368,0.85427034,0.15714286
786476,1.38,7.44,58,16.736746,6.5879998,0.82395643,0.92071134,0.16571428
786477,1.38,7.5,58,17.649349,7.5636001,0.82395643,0.92071134,0.16571428
786478,1.38,7.56,60,19.426327,8.8163996,0.77796608,0.98548853,0.17391305
786479,1.38,7.62,72,26.966068,13.8384,0.61306727,1.2649961,0.19944598
786480,1.38,7.68,98,40.286591,21.531601,0.4643383,1.8645679,0.25789472
786481,1.38,7.74,66,28.82032,16.8228,0.68578088,1.1242763,0.18282549
851970,1.44,4.92,24,7.0367808,2.7107999,0.6630435,0.56492984,0.19672132
851971,1.44,4.98,26,6.8474617,2.4156001,0.68307692,0.59378022,0.21311475
851972,1.44,5.04,43,15.919716,8.2944002,0.62458473,0.72719777,0.19724771
851973,1.44,5.1,80,29.562944,13.3344,0.81930381,0.98904181,0.38095239
851974,1.44,5.16,76,26.056211,10.9332,0.86421055,0.91161901,0.37073171
