Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
524301,1.1400000,5.5800000,1.1271669,1866.0000000,2103.2934570,122.0000000,55.4184074,32.5152016
524302,1.1400000,5.6400000,1.1506407,1866.0000000,2147.0957031,113.0000000,47.5822372,26.5895996
524303,1.1400000,5.7000000,1.1509918,1866.0000000,2147.7507324,106.0000000,40.8319550,21.3120003
524304,1.1400000,5.7600000,1.1282207,1866.0000000,2105.2597656,104.0000000,37.4197464,18.3995991
524305,1.1400000,5.8200000,1.0713356,1866.0000000,1999.1120605,104.0000000,35.2528419,16.2828007
524306,1.1400000,5.8800000,1.0017182,1866.0000000,1869.2061768,107.0000000,35.4940262,15.9191999
524307,1.1400000,5.9400000,0.9093393,1866.0000000,1696.8271484,225.0000000,282.7967834,659.4227905
524308,1.1400000,6.0000000,0.9077967,1866.0000000,1693.9486084,223.0000000,281.4631958,658.5839844
524309,1.1400000,6.0600000,0.9998754,1866.0000000,1865.7674561,105.0000000,34.4127464,15.5087996
524310,1.1400000,6.1200000,1.0739688,1866.0000000,2004.0257568,100.0000000,33.3506165,15.7572002
524311,1.1400000,6.1800000,1.1239552,1866.0000000,2097.3005371,98.0000000,34.2209435,16.9235992
524312,1.1400000,6.2400000,1.1561303,1866.0000000,2157.3391113,97.0000000,36.6717453,19.7460003
524313,1.1400000,6.3000000,1.1700569,1866.0000000,2183.3261719,100.0000000,42.5585442,25.3439999
524314,1.1400000,6.3600000,1.1790103,1866.0000000,2200.0332031,102.0000000,47.5033607,29.9123993
524317,1.1400000,6.5400000,1.2377625,1866.0000000,2309.6647949,23.0000000,5.4951282,1.9332000
524318,1.1400000,6.6000000,1.5793360,1866.0000000,2947.0410156,37.0000000,20.8232021,14.6520004
524321,1.1400000,6.7800000,1.3434135,1866.0000000,2506.8095703,22.0000000,8.0221720,4.0500002
524327,1.1400000,7.1400000,1.8394196,1866.0000000,3432.3569336,54.0000000,20.2843227,10.8431997
524336,1.1400000,7.6800000,1.7975922,1866.0000000,3354.3068848,56.0000000,18.9619980,8.7083998
589829,1.2000000,5.1000000,1.0493152,1866.0000000,1958.0220947,114.0000000,61.3046570,52.4412003
589830,1.2000000,5.1600000,0.9725452,1866.0000000,1814.7694092,123.0000000,62.4626083,50.4791985
589831,1.2000000,5.2200000,0.9531343,1866.0000000,1778.5485840,137.0000000,72.2635651,59.6304016
589832,1.2000000,5.2800000,1.0106601,1866.0000000,1885.8916016,129.0000000,61.1372261,46.2204018
589833,1.2000000,5.3400000,1.0844300,1866.0000000,2023.5463867,132.0000000,61.3424950,43.9127998
589834,1.2000000,5.4000000,1.1198570,1866.0000000,2089.6530762,140.0000000,63.4927177,41.7995987
589835,1.2000000,5.4600000,1.1424651,1866.0000000,2131.8398438,153.0000000,69.2111511,42.6276016
589836,1.2000000,5.5200000,1.1874895,1866.0000000,2215.8554688,146.0000000,65.1417160,38.1419983
589837,1.2000000,5.5800000,1.2423463,1866.0000000,2318.2182617,121.0000000,53.1490402,30.6324005
589838,1.2000000,5.6400000,1.2517474,1866.0000000,2335.7604980,111.0000000,45.4776649,24.9983997
