Ref,x,y,Connectivity,Metric Mean Penn Distance,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
524327,1.14000000,7.14000000,54.00000000,0.32485384,2.80914521,2.49034357,2.16548967,1866.00000000,20.28432274,10.84319973
524336,1.14000000,7.68000000,56.00000000,0.42777258,2.96858835,2.88923788,2.46146536,1866.00000000,18.96199799,8.70839977
589829,1.20000000,5.10000000,114.00000000,0.27890712,1.57020521,2.46036696,2.18145990,1866.00000000,61.30465698,52.44120026
589830,1.20000000,5.16000000,123.00000000,0.27743676,1.47085655,2.42960858,2.15217161,1866.00000000,62.46260834,50.47919846
589831,1.20000000,5.22000000,137.00000000,0.28224710,1.44392312,2.40677905,2.12453198,1866.00000000,72.26356506,59.63040161
589832,1.20000000,5.28000000,129.00000000,0.28797618,1.44977951,2.38657117,2.09859490,1866.00000000,61.13722610,46.22040176
589833,1.20000000,5.34000000,132.00000000,0.29568702,1.53502297,2.37007523,2.07438827,1866.00000000,61.34249496,43.91279984
589834,1.20000000,5.40000000,140.00000000,0.30568722,1.59148645,2.35760450,2.05191731,1866.00000000,63.49271774,41.79959869
589835,1.20000000,5.46000000,153.00000000,0.30830970,1.52389264,2.33947277,2.03116298,1866.00000000,69.21115112,42.62760162
589836,1.20000000,5.52000000,146.00000000,0.30948147,1.60420549,2.32155848,2.01207709,1866.00000000,65.14171600,38.14199829
589837,1.20000000,5.58000000,121.00000000,0.30871412,1.59007907,2.30331826,1.99460399,1866.00000000,53.14904022,30.63240051
589838,1.20000000,5.64000000,111.00000000,0.30485824,1.56816769,2.28362226,1.97876406,1866.00000000,45.47766495,24.99839973
589839,1.20000000,5.70000000,109.00000000,0.29849175,1.53796494,2.26307321,1.96458137,1866.00000000,41.70174026,21.54240036
589840,1.20000000,5.76000000,108.00000000,0.29075918,1.50167584,2.24283075,1.95207155,1866.00000000,38.98559952,19.04039955
589841,1.20000000,5.82000000,105.00000000,0.27388850,1.49704576,2.21513581,1.94124722,1866.00000000,35.68430710,16.45199966
589842,1.20000000,5.88000000,108.00000000,0.25843883,1.37057030,2.19056630,1.93212759,1866.00000000,35.71826172,15.93000031
589843,1.20000000,5.94000000,230.00000000,0.25238633,1.25376713,2.17711520,1.92472875,1866.00000000,278.32855225,631.59478760
589844,1.20000000,6.00000000,230.00000000,0.25148094,1.25229836,2.17054510,1.91906428,1866.00000000,278.68750000,632.14202881
589845,1.20000000,6.06000000,110.00000000,0.25875348,1.44004834,2.17388797,1.91513443,1866.00000000,38.03018570,18.35639954
589846,1.20000000,6.12000000,107.00000000,0.27611402,1.48460352,2.18904638,1.91293252,1866.00000000,38.56108475,19.88999939
589847,1.20000000,6.18000000,106.00000000,0.28966394,1.44178414,2.20210576,1.91244185,1866.00000000,40.75096130,22.66200066
589848,1.20000000,6.24000000,106.00000000,0.29933238,1.48401928,2.21298099,1.91364849,1866.00000000,43.92528534,26.29439926
589849,1.20000000,6.30000000,106.00000000,0.30791536,1.51601219,2.22445178,1.91653645,1866.00000000,47.76119614,30.69720078
589850,1.20000000,6.36000000,105.00000000,0.31185183,1.53872728,2.23294115,1.92108917,1866.00000000,51.25034332,34.94520187
589851,1.20000000,6.42000000,104.00000000,0.31370449,1.55479443,2.24096990,1.92726541,1866.00000000,55.63575363,40.50719833
589852,1.20000000,6.48000000,92.00000000,0.31408966,1.63856375,2.24909472,1.93500495,1866.00000000,57.39423752,45.95399857
589853,1.20000000,6.54000000,93.00000000,0.31082895,1.70278931,2.25513577,1.94430685,1866.00000000,59.15700912,49.60440063
589854,1.20000000,6.60000000,103.00000000,0.29220703,1.67065084,2.24743581,1.95522881,1866.00000000,65.31044769,56.91960144
589855,1.20000000,6.66000000,195.00000000,0.28130966,1.60875452,2.24913359,1.96782398,1866.00000000,282.12588501,611.13598633
589856,1.20000000,6.72000000,135.00000000,0.27476352,1.60430825,2.25685835,1.98209488,1866.00000000,176.81016541,357.59161377
