Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Choice,Metric Choice [SLW],Metric Mean Depth,Metric Mean Depth [SLW],Metric Total Depth,Metric Total Length,Metric Total Nodes,Segment Length
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,310,2490793.8,738.9906,735.21118,130801.34,12216.636,178,141.50713
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,433,2823896.5,650.25323,653.44574,115094.83,12216.636,178,75.595688
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,560,3472682.2,602.69305,616.87109,106676.67,12216.636,178,72.215797
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,696,4237149.5,552.37866,578.21509,97771.023,12216.636,178,73.287651
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,986,4540073,523.08612,556.11237,92586.25,12216.636,178,30.462101
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,191,536370.06,522.01398,561.29706,92396.477,12216.636,178,41.801193
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,1161,4855592,441.62143,448.79956,78166.992,12216.636,178,19.99411
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,1281,5848896.5,442.66867,455.24454,78352.352,12216.636,178,81.959412
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,1455,6172366,419.85419,439.85257,74314.188,12216.636,178,61.298454
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,504,3712082,493.31641,524.91083,87317.008,12216.636,178,230.26486
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,242,323253.03,532.25604,561.15533,94209.312,12216.636,178,11.345068
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,242,394409.47,562.31927,643.00903,99530.508,12216.636,178,21.704504
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,540,2827532.2,535.38397,617.08313,94762.969,12216.636,178,156.13542
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,283,1161855.5,483.10574,550.69232,85509.719,12216.636,178,4.3709054
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,1132,5169691.5,492.79074,559.55347,87223.961,12216.636,178,123.53465
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,788,3711177.8,515.90082,568.24829,91314.445,12216.636,178,88.042221
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,1060,4597809.5,513.81891,554.59393,90945.945,12216.636,178,44.959156
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,177,391830.09,528.11072,562.41418,93475.594,12216.636,178,32.158134
