Ref,x1,y1,x2,y2,Angular Connectivity,Angular Mean Depth,Angular Node Count,Angular Total Depth,Axial Line Ref,Connectivity,Segment Length
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,1.675844,178,296.62436,34,5,83.344948
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,1.671553,178,295.86487,34,5,11.506542
127,531168.634422,183891.041697,531174.661661,183891.162317,4,1.7174268,178,303.98453,34,6,6.0284462
128,531174.661661,183891.162317,531180.080455,183891.270761,4,2.0989161,178,371.50815,34,5,5.419879
129,531246.846002,183898.187827,531247.100529,183877.364907,2,2.7084637,178,479.39807,35,2,20.824474
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,2.5914528,178,458.68716,36,3,36.565041
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,2.7796588,178,491.9996,37,2,15.346227
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,2.9763858,178,526.82031,38,3,58.902714
133,531177.606206,183921.056404,531180.045933,183891.686354,4,1.7777164,178,314.65579,39,5,29.471209
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,1.7772076,178,314.56577,39,5,0.41702437
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,1.7609271,178,311.68408,39,4,143.56969
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,1.7733433,178,313.88177,39,5,220.49948
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,1.7607169,178,311.64691,39,4,4.6648011
138,531204.529923,183526.934938,531210.219332,183528.451248,4,1.9690347,178,348.51913,40,5,5.8880019
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,2.0066917,178,355.18445,40,5,86.80928
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,2.0319092,178,359.64792,40,3,83.826813
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,2.12237,178,375.65952,41,4,33.475399
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,1.9978019,178,353.61093,41,4,178.53447
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,1.9794508,178,350.36279,41,4,116.47486
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,2.2082524,178,390.86069,41,3,6.8355722
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,2.3875072,178,422.58878,42,5,314.13025
146,531156.88079,183889.431752,531157.130183,183890.811468,4,2.4363875,178,431.2406,42,5,1.4020742
147,531029.291446,183888.25309,531030.230687,183855.631128,2,2.670053,178,472.5994,43,2,32.635479
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,2.3066831,178,408.2829,44,4,55.385048
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,2.4022784,178,425.20328,44,4,8.0672827
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,2.4705982,178,437.2959,45,4,4.1139636
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,2.497313,178,442.02441,45,4,56.198662
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,2.6006398,178,460.31326,45,4,13.687597
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,2.5810659,178,456.84866,46,4,5.1633153
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,2.4161983,178,427.66708,46,4,48.794411
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,2.60671,178,461.38766,46,4,5.8241816
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,2.5644405,178,453.90594,47,4,166.88625
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,2.5955322,178,459.40921,47,4,4.9959264
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,2.2456501,178,397.48007,48,2,114.23679
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,2.2495897,178,398.17737,48,3,55.910877
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,2.2259719,178,393.99704,49,4,81.635147
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,2.2007418,178,389.53128,49,4,108.93696
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,2.1797833,178,385.82166,49,4,30.296598
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,2.8912899,178,511.7583,50,3,40.717644
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,3.9923294,178,706.64227,51,1,63.598595
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,2.70312,178,478.45224,52,4,4.4063578
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,2.6740127,178,473.30023,52,4,90.654068
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,2.3954737,178,423.99884,53,4,143.34143
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,2.3780229,178,420.91006,53,4,141.29507
169,531282.101437,184085.298468,531294.562642,184021.679734,4,2.9725974,178,526.14972,54,4,64.827652
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,3.8639052,178,683.91119,55,3,26.562881
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,3.8604386,178,683.29761,55,3,23.211634
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,4.1936455,178,742.27527,56,2,62.202236
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,3.4223471,178,605.75543,57,3,25.08102
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,3.2673311,178,578.31757,57,3,25.400402
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,4.1030107,178,726.23291,58,2,63.467106
176,530810.256885,183814.547701,530916.388132,183816.148133,4,2.8575191,178,505.78091,59,4,106.14331
177,531139.683702,184338.865635,531374.160466,184412.387824,4,2.4422507,178,432.27838,60,4,245.73332
