Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
524336,1.14000000,7.68000000,2.29421329,56.00000000,18.96199799,8.70839977
589829,1.20000000,5.10000000,1.38550162,114.00000000,61.30465698,52.44120026
589830,1.20000000,5.16000000,1.22954333,123.00000000,62.46260834,50.47919846
589831,1.20000000,5.22000000,1.18066883,137.00000000,72.26356506,59.63040161
589832,1.20000000,5.28000000,1.30633473,129.00000000,61.13722610,46.22040176
589833,1.20000000,5.34000000,1.47583604,132.00000000,61.34249496,43.91279984
589834,1.20000000,5.40000000,1.59033442,140.00000000,63.49271774,41.79959869
589835,1.20000000,5.46000000,1.68066883,153.00000000,69.21115112,42.62760162
589836,1.20000000,5.52000000,1.73745131,146.00000000,65.14171600,38.14199829
589837,1.20000000,5.58000000,1.68452203,121.00000000,53.14904022,30.63240051
589838,1.20000000,5.64000000,1.64711690,111.00000000,45.47766495,24.99839973
589839,1.20000000,5.70000000,1.59824240,109.00000000,41.70174026,21.54240036
589840,1.20000000,5.76000000,1.53261864,108.00000000,38.98559952,19.04039955
589841,1.20000000,5.82000000,1.44228411,105.00000000,35.68430710,16.45199966
589842,1.20000000,5.88000000,1.18452203,108.00000000,35.71826172,15.93000031
589843,1.20000000,5.94000000,0.94228411,230.00000000,278.32855225,631.59478760
589844,1.20000000,6.00000000,0.91955733,230.00000000,278.68750000,632.14202881
589845,1.20000000,6.06000000,1.18452203,110.00000000,38.03018570,18.35639954
589846,1.20000000,6.12000000,1.35194969,107.00000000,38.56108475,19.88999939
589847,1.20000000,6.18000000,1.51900339,106.00000000,40.75096130,22.66200066
589848,1.20000000,6.24000000,1.59817028,106.00000000,43.92528534,26.29439926
589849,1.20000000,6.30000000,1.64711690,106.00000000,47.76119614,30.69720078
589850,1.20000000,6.36000000,1.68452191,105.00000000,51.25034332,34.94520187
589851,1.20000000,6.42000000,1.71616650,104.00000000,55.63575363,40.50719833
589852,1.20000000,6.48000000,1.80307508,92.00000000,57.39423752,45.95399857
589853,1.20000000,6.54000000,1.81873500,93.00000000,59.15700912,49.60440063
589854,1.20000000,6.60000000,1.14839268,103.00000000,65.31044769,56.91960144
589855,1.20000000,6.66000000,1.02272677,195.00000000,282.12588501,611.13598633
589856,1.20000000,6.72000000,0.99590605,135.00000000,176.81016541,357.59161377
589857,1.20000000,6.78000000,1.19989789,63.00000000,46.02703857,50.01839828
589862,1.20000000,7.08000000,2.61775947,56.00000000,21.01936913,9.77400017
